Enoggera (Brisbane City),10,0,0,0,4,0,0
Everton Hills (Pine Rivers Shire),10,0,0,0,4,0,0
Everton Park (Brisbane City),9,0,0,0,3,0,0
Fairfield (Brisbane City),7,0,0,0,0,0,0
Ferny Grove (Brisbane City),5,0,0,0,3,0,0
Ferny Hills (Pine Rivers Shire),17,0,0,0,0,0,0
Fig Tree Pocket (Brisbane City),9,0,0,0,0,0,0
Fitzgibbon (Brisbane City),0,0,0,0,0,0,0
Flinders View (Ipswich City),6,0,0,0,0,0,0
Forest Lake (Brisbane City),37,0,0,0,10,0,0
Forestdale (Logan City),3,0,0,0,0,0,0
Fortitude Valley (Brisbane City),6,0,0,0,0,0,0
Gailes (Ipswich City),6,0,0,0,0,0,0
Gaythorne (Brisbane City),9,0,0,0,0,0,0
Geebung (Brisbane City),12,0,0,0,0,0,4
Goodna (Ipswich City),41,0,0,0,5,0,0
Gordon Park (Brisbane City),9,0,0,0,0,0,0
Graceville (Brisbane City),7,0,0,0,0,0,0
Grange (Brisbane City),4,0,0,0,0,0,0
Greenbank (Logan City),10,0,0,0,0,0,0
Greenslopes (Brisbane City),21,0,0,0,4,0,0
Griffin (Pine Rivers Shire),3,0,0,0,0,0,0
Gumdale (Brisbane City),0,0,0,0,0,0,0
Hamilton (Brisbane City),6,0,0,0,0,0,0
Hawthorne (Brisbane City),3,0,0,0,0,0,0
Heathwood (Brisbane City),0,0,0,0,0,0,0
Hemmant (Brisbane City),4,0,0,0,0,0,0
Hendra (Brisbane City),8,0,0,0,0,0,0
Heritage Park (Logan City),12,0,0,0,0,0,0
Herston (Brisbane City),3,0,0,0,3,0,0
Highgate Hill (Brisbane City),11,0,0,0,3,0,0
Hillcrest (Logan City),17,0,0,0,0,0,0
Holland Park West (Brisbane City),18,0,0,0,3,0,0
Holland Park (Brisbane City),19,0,0,0,0,0,0
Holmview (Gold Coast City),5,0,0,0,0,0,0
Inala (Brisbane City),40,0,0,0,11,0,0
Indooroopilly (Brisbane City),13,0,0,0,0,0,0
Ipswich (Ipswich City),8,0,0,0,0,0,0
Jamboree Heights (Brisbane City),4,0,0,0,0,0,0
Jindalee (Brisbane City),17,0,0,0,3,0,0
Joyner (Pine Rivers Shire),3,0,0,0,0,0,0
Kallangur (Pine Rivers Shire),45,0,0,0,4,0,0
Kangaroo Point (Brisbane City),10,0,0,0,0,0,0
Karalee (Ipswich City),7,0,0,0,0,0,0
Karana Downs (Brisbane City),3,0,0,0,0,0,0
Karawatha (Brisbane City),0,0,0,0,0,0,0
Kedron (Brisbane City),18,0,0,0,3,0,0
Kelvin Grove (Brisbane City),9,0,0,0,0,0,0
Kenmore Hills (Brisbane City),9,0,0,0,0,0,0
Kenmore (Brisbane City),5,0,0,0,0,0,0
Keperra (Brisbane City),17,0,0,0,3,0,0
Kingston (Logan City),59,0,0,0,4,0,3
Kippa-ring (Redcliffe City),22,0,0,0,4,0,3
Kuraby (Brisbane City),22,0,0,0,3,0,0
Larapinta (Brisbane City),0,0,0,0,0,0,0
Lawnton (Pine Rivers Shire),12,0,0,0,0,0,0
Leichhardt (Ipswich City),7,0,0,0,0,0,0
Logan Central (Logan City),26,0,0,0,0,0,0
Loganholme (Logan City),17,0,0,0,0,0,6
Loganlea (Logan City),11,0,0,0,4,0,4
Lota (Brisbane City),3,0,0,0,3,0,0
